B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0262,0.022,0.019,0.0124,0.0126,0.0108,0.0122,0.0116,0.0118,0.0043,0.0116,0.0105,water
0.0262,0.0226,0.0192,0.0119,0.013,0.0108,0.012,0.0115,0.0121,0.0043,0.0116,0.0102,water
0.0262,0.0227,0.0193,0.0115,0.013,0.0108,0.012,0.0113,0.0121,0.0043,0.0116,0.0102,water
0.0262,0.0237,0.021,0.012,0.0122,0.012,0.0123,0.0114,0.0117,0.0043,0.0116,0.0106,water
0.0262,0.025,0.0183,0.0123,0.0122,0.012,0.0123,0.0116,0.0117,0.0043,0.0116,0.0106,water
0.0262,0.0207,0.0184,0.0121,0.0125,0.0113,0.0119,0.0115,0.0102,0.0043,0.0115,0.01,water
0.0262,0.018,0.0185,0.0119,0.0125,0.0113,0.0119,0.0114,0.0102,0.0043,0.0115,0.01,water
0.0262,0.019,0.0192,0.0122,0.013,0.0116,0.0125,0.0112,0.0107,0.0043,0.0115,0.01,water
0.0262,0.0205,0.0198,0.012,0.013,0.0116,0.0125,0.0119,0.0107,0.0043,0.0115,0.01,water
0.0261,0.0209,0.0206,0.0123,0.0125,0.0123,0.0127,0.0127,0.0115,0.0054,0.0117,0.0101,water
0.0262,0.0224,0.0197,0.0129,0.0122,0.012,0.0123,0.0118,0.0117,0.0043,0.0116,0.0106,water
0.0262,0.0236,0.0198,0.013,0.0122,0.012,0.0123,0.0115,0.0117,0.0043,0.0116,0.0106,water
0.0262,0.0235,0.0193,0.0123,0.0125,0.0113,0.0119,0.0114,0.0102,0.0043,0.0115,0.01,water
0.0262,0.0216,0.0183,0.0127,0.0125,0.0113,0.0119,0.0112,0.0102,0.0043,0.0115,0.01,water
0.0262,0.0178,0.0191,0.013,0.013,0.0116,0.0125,0.0113,0.0107,0.0043,0.0115,0.01,water
0.0262,0.019,0.019,0.0123,0.013,0.0116,0.0125,0.0117,0.0107,0.0043,0.0115,0.01,water
0.0258,0.0213,0.021,0.0117,0.0129,0.0123,0.0124,0.011,0.0125,0.0043,0.0114,0.01,water
0.0258,0.0208,0.0214,0.0123,0.0129,0.0123,0.0124,0.0117,0.0125,0.0043,0.0114,0.01,water
0.0261,0.0214,0.0203,0.0124,0.0124,0.0125,0.0133,0.0128,0.0115,0.0054,0.0114,0.0102,water
0.0262,0.0208,0.0192,0.0125,0.0121,0.0119,0.013,0.0124,0.0116,0.0043,0.0116,0.0106,water
0.0262,0.0202,0.0212,0.0131,0.0121,0.0119,0.013,0.0118,0.0116,0.0043,0.0116,0.0106,water
0.0262,0.0218,0.02,0.0123,0.0124,0.0119,0.0126,0.0113,0.0107,0.0043,0.0115,0.01,water
0.0262,0.0216,0.0189,0.0126,0.0124,0.0119,0.0126,0.0111,0.0107,0.0043,0.0115,0.01,water
0.0262,0.0223,0.0199,0.0127,0.0131,0.0121,0.0125,0.0117,0.0114,0.0043,0.0114,0.01,water
0.0262,0.0224,0.0198,0.0121,0.0131,0.0121,0.0125,0.012,0.0114,0.0043,0.0114,0.01,water
0.0258,0.0229,0.0195,0.0116,0.0125,0.0123,0.0123,0.0116,0.0125,0.0043,0.0114,0.0099,water
0.0258,0.02,0.0206,0.0127,0.0125,0.0123,0.0123,0.0118,0.0125,0.0043,0.0114,0.0099,water
0.0258,0.0248,0.0207,0.0134,0.012,0.0121,0.012,0.0123,0.0118,0.0043,0.0111,0.0104,water
0.0258,0.0203,0.0211,0.0118,0.012,0.0121,0.012,0.0119,0.0118,0.0043,0.0111,0.0104,water
0.0261,0.0234,0.0208,0.012,0.0124,0.0125,0.0133,0.0133,0.0115,0.0054,0.0114,0.0102,water
0.0261,0.0229,0.0201,0.0125,0.0124,0.0125,0.0133,0.0125,0.0115,0.0054,0.0114,0.0102,water
0.0262,0.0196,0.0194,0.013,0.0121,0.0119,0.013,0.0122,0.0116,0.0043,0.0116,0.0106,water
0.0262,0.0195,0.0208,0.0134,0.0121,0.0119,0.013,0.0121,0.0116,0.0043,0.0116,0.0106,water
0.0262,0.0216,0.0199,0.0121,0.0124,0.0119,0.0126,0.012,0.0107,0.0043,0.0115,0.01,water
0.0262,0.0225,0.0197,0.0128,0.0124,0.0119,0.0126,0.0109,0.0107,0.0043,0.0115,0.01,water
0.0262,0.0226,0.0202,0.0127,0.0131,0.0121,0.0125,0.0125,0.0114,0.0043,0.0114,0.01,water
0.0262,0.0221,0.0199,0.0118,0.0131,0.0121,0.0125,0.0121,0.0114,0.0043,0.0114,0.01,water
0.0258,0.023,0.0182,0.0117,0.0125,0.0123,0.0123,0.0114,0.0125,0.0043,0.0114,0.0099,water
